,msa,base,action_x,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_cont,direct,indirect,total,ea_emp,ch_as_perc,13
159,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
160,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
161,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
162,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
163,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
164,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
165,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
166,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
167,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
168,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(89),(195),"1,009,217",0.0%
169,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
170,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
171,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
172,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
173,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
174,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(26),0,0,0,(26),0,0,(26),(18),(44),"850,261",0.0%
175,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
176,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
177,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
178,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
179,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
180,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(67),0,0,0,(67),0,0,(67),(54),(121),"1,668,793",0.0%
181,"Columbus, OH Metropolitan Statistical Area",Army National Guard Reserve Center Westerville,Army National Guard Reserve Center Westerville,Close,(12),0,0,0,(12),0,0,(12),(4),(16),"1,122,033",0.0%
182,,U.S. Army Reserve Center Whitehall,U.S. Army Reserve Center Whitehall,Close,(25),0,0,0,(25),0,0,(25),(9),(34),"1,122,033",0.0%
183,,Leased Space - OH,Leased Space - OH,Close/Realign,0,(187),0,0,0,(187),0,(187),(153),(340),"1,122,033",0.0%
184,,Defense Supply Center Columbus,Defense Supply Center Columbus,Gain,(2),(960),65,"2,655",63,"1,695",0,"1,758","1,412","3,170","1,122,033",0.3%
185,,Rickenbacker International Airport Air Guard Station,Rickenbacker International Airport Air Guard Station,Gain,0,0,0,1,0,1,0,1,0,1,"1,122,033",0.0%
186,,Rickenbacker Army National Guard Bldg 943 Columbus,Rickenbacker Army National Guard Bldg 943 Columbus,Realign,(4),0,0,0,(4),0,0,(4),(1),(5),"1,122,033",0.0%
187,"Corpus Christi, TX Metropolitan Statistical Area",Naval Station Ingleside,Naval Station Ingleside,Close,"(1,901)",(260),0,0,"(1,901)",(260),(57),"(2,218)","(2,582)","(4,800)","221,376",-2.2%
188,,Corpus Christi Army Depot,Corpus Christi Army Depot,Realign,0,(92),0,0,0,(92),0,(92),(132),(224),"221,376",-0.1%
189,,Naval Air Station Corpus Christi,Naval Air Station Corpus Christi,Realign,(926),(89),0,0,(926),(89),(10),"(1,025)","(1,183)","(2,208)","221,376",-1.0%
190,"Dallas-Plano-Irving, TX Metropolitan Division",Army National Guard Reserve Center # 2 Dallas,Army National Guard Reserve Center # 2 Dallas,Close,(90),0,0,0,(90),0,0,(90),(48),(138),"2,410,769",0.0%
191,,Army National Guard Reserve Center California Crossing,Army National Guard Reserve Center California Crossing,Close,(47),0,0,0,(47),0,0,(47),(25),(72),"2,410,769",0.0%
192,,Rock Island Arsenal,Rock Island Arsenal,Realign,(3),"(1,537)",157,120,154,"(1,417)",0,"(1,263)","(1,171)","(2,434)","229,053",-1.1%
193,," (230) 0 0 0 (230) 0 (230) (194) (424) 512,393 -0.1% Service, Dayton Wright Patterson Air Force Base"," Service, Dayton Wright Patterson Air Force Base",Gain,(69),(729),658,559,589,(170),75,494,376,870,"512,393",0.2%
194,,Glenn Research Center,Glenn Research Center,Realign,0,(50),0,0,0,(50),0,(50),(42),(92),"512,393",0.0%
195,"Del Rio, TX Micropolitan Statistical Area",Laughlin Air Force Base,Laughlin Air Force Base,Gain,0,0,102,80,102,80,0,182,137,319,"21,096",1.5%
196,"Denver-Aurora, CO Metropolitan Statistical Area",Buckley Air Force Base,Buckley Air Force Base,Gain,0,0,13,81,13,81,0,94,78,172,"1,545,580",0.0%
197,,Air Reserve Personnel Center,Air Reserve Personnel Center,Realign,(159),"(1,447)",57,"1,500",(102),53,(59),(108),(54),(162),"1,545,580",0.0%
198,"Des Moines, IA Metropolitan Statistical Area",Des Moines International Airport Air Guard Station,Des Moines International Airport Air Guard Station,Gain,(31),(172),54,196,23,24,0,47,27,74,"362,215",0.0%
199,,Armed Forces Reserve Center Camp Dodge,Armed Forces Reserve Center Camp Dodge,Realign,(217),(1),0,0,(217),(1),0,(218),(84),(302),"362,215",-0.1%
200,"Detroit-Livonia-Dearborn, MI Metropolitan Division",Detroit Arsenal,Detroit Arsenal,Gain,(4),(104),4,751,0,647,0,647,407,"1,054","994,108",0.1%
201,"Dover, DE Metropolitan Statistical Area",Dover Air Force Base,Dover Air Force Base,Gain,0,0,115,133,115,133,0,248,254,502,"74,718",0.7%
202,"Dubuque, IA Metropolitan Statistical Area",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(19),(5),0,0,(19),(5),0,(24),(8),(32),"62,005",-0.1%
203,"Tacoma, WA Metropolitan Division",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(19),(5),0,0,(19),(5),0,(24),(8),(32),"62,005",-0.1%
204,"Dubuque, IA Metropolitan Statistical Area",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(20),0,0,0,(20),0,0,(20),(15),(35),"339,431",0.0%
205,"Tacoma, WA Metropolitan Division",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(20),0,0,0,(20),0,0,(20),(15),(35),"339,431",0.0%
206,"Dubuque, IA Metropolitan Statistical Area",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(16),0,0,0,(16),0,0,(16),(5),(21),"80,664",0.0%
207,"Tacoma, WA Metropolitan Division",Navy-Marine Corps Reserve,Navy-Marine Corps Reserve,Close,(16),0,0,0,(16),0,0,(16),(5),(21),"80,664",0.0%
208,,Navy Reserve Center Duluth,Navy Reserve Center Duluth,Close,(8),0,0,0,(8),0,0,(8),(2),(10),"157,359",0.0%
209,"Durham, NC Metropolitan Statistical Area","Army Research Office, Durham","Army Research Office, Durham",Realign,(1),(113),0,0,(1),(113),0,(114),(67),(181),"319,576",-0.1%
210,"Edison, NJ Metropolitan Division",Fort Monmouth,Fort Monmouth,Close,(620),"(4,652)",0,0,(620),"(4,652)",0,"(5,272)","(4,465)","(9,737)","1,220,335",-0.8%
211,,"Kilmer U.S. Army Reserve Center, Edison","Kilmer U.S. Army Reserve Center, Edison",Close,(23),(21),0,0,(23),(21),0,(44),(31),(75),"1,220,335",0.0%
212,,Naval Air Engineering Station Lakehurst,Naval Air Engineering Station Lakehurst,Realign,(132),(54),0,0,(132),(54),0,(186),(123),(309),"1,220,335",0.0%
213,,Naval Weapons Station Earle,Naval Weapons Station Earle,Realign,0,(63),2,0,2,(63),0,(61),(54),(115),"1,220,335",0.0%
214,"El Dorado, AR Micropolitan Statistical Area",El Dorado Armed Forces Reserve Center,El Dorado Armed Forces Reserve Center,Close,(24),0,0,0,(24),0,0,(24),(12),(36),"29,093",-0.1%
215,,"106) 0 0 0 (106) 0 0 (106) (81) (187) 328,741 -0.1% Center (Hondo Pass) El Paso Fort Bliss", Center (Hondo Pass) El Paso Fort Bliss,Gain,"(4,564)",(223),"15,918",370,"11,354",147,0,"11,501","8,882","20,383","328,741",6.2%
216,"Elizabethtown, KY Metropolitan Statistical Area",Fort Knox,Fort Knox,Realign,"(10,159)",(772),"5,292","2,511","(4,867)","1,739",184,"(2,944)",8,"(2,936)","65,926",-4.5%
217,"Elmira, NY Metropolitan Statistical Area",Navy Reserve Center Horsehead,Navy Reserve Center Horsehead,Close,(7),0,0,0,(7),0,0,(7),(6),(13),"50,494",0.0%
218,"Enid, OK Micropolitan Statistical Area",Vance Air Force Base,Vance Air Force Base,Gain,0,0,93,6,93,6,0,99,94,193,"34,406",0.6%
219,"Enterprise-Ozark, AL Micropolitan Statistical Area",Gary U.S. Army Reserve Center Enterprize,Gary U.S. Army Reserve Center Enterprize,Close,(9),(1),0,0,(9),(1),0,(10),(8),(18),"48,094",0.0%
220,,Fort Rucker,Fort Rucker,Gain,(423),(80),"2,157",234,"1,734",154,0,"1,888","1,689","3,577","48,094",7.4%
221,,Navy Reserve Center Evansville,Navy Reserve Center Evansville,Close,(7),0,0,0,(7),0,0,(7),(1),(8),"212,719",0.0%
222,"Fairbanks, AK Metropolitan Statistical Area",Eielson Air Force Base,Eielson Air Force Base,Realign,"(2,821)",(319),0,0,"(2,821)",(319),200,"(2,940)","(1,770)","(4,710)","54,469",-8.6%
223,"Fairmont, WV Micropolitan Statistical Area",Fairmont U.S. Army Reserve,Fairmont U.S. Army Reserve,Close,(88),0,0,0,(88),0,0,(88),(47),(135),"26,404",-0.5%
224,"Fallon, NV Micropolitan Statistical Area",Naval Air Station Fallon,Naval Air Station Fallon,Realign,(7),0,0,0,(7),0,0,(7),(5),(12),"15,858",-0.1%
225,"Fayetteville, NC Metropolitan Statistical Area",Fort Bragg,Fort Bragg,Gain,"(1,352)",0,"5,430",247,"4,078",247,0,"4,325","2,915","7,240","195,370",3.7%
226,,Pope Air Force Base,Pope Air Force Base,Realign,"(5,969)",(345),"1,148","1,153","(4,821)",808,(132),"(4,145)","(2,657)","(6,802)","195,370",-3.5%
227,"Fort Leonard Wood, MO Micropolitan Statistical Area",Fort Leonard Wood,Fort Leonard Wood,Realign,(181),(2),71,25,(110),23,0,(87),(14),(101),"25,515",-0.4%
228,,Fort Smith Regional,Fort Smith Regional,Realign,(19),(59),0,0,(19),(59),0,(78),(56),(134),"152,388",-0.1%
229,"Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area",Eglin Air Force Base,Eglin Air Force Base,Gain,(28),(42),"2,168",120,"2,140",78,0,"2,218","1,834","4,052","120,139",3.4%
230,,Hurlburt Field,Hurlburt Field,Realign,(48),(6),0,0,(48),(6),0,(54),(44),(98),"120,139",-0.1%
231,"Fort Wayne, IN Metropolitan Statistical Area",Fort Wayne International Airport,Fort Wayne International Airport,Gain,(5),0,62,256,57,256,0,313,173,486,"256,503",0.2%
232,"Fort Worth-Arlington, TX Metropolitan Division","Carswell ARS, Naval Air Station Fo","Carswell ARS, Naval Air Station Fo",Gain,0,(12),8,116,8,104,0,112,116,228,"1,004,416",0.0%
233,,Naval Air Station Joint Reserve Base Ft. Worth,Naval Air Station Joint Reserve Base Ft. Worth,Gain,(54),(5),330,41,276,36,2,314,197,511,"1,004,416",0.1%
234,"Fresno, CA Metropolitan Statistical Area",Fresno Air Terminal,Fresno Air Terminal,Gain,0,0,57,254,57,254,0,311,207,518,"427,912",0.1%
235,"Glens Falls, NY Metropolitan Statistical Area",Navy Reserve Center Glenn Falls,Navy Reserve Center Glenn Falls,Close,(7),0,0,0,(7),0,0,(7),(1),(8),"64,173",0.0%
236,"Goldsboro, NC Metropolitan Statistical Area",Seymore Johnson Air Force Base,Seymore Johnson Air Force Base,Gain,0,0,345,17,345,17,0,362,301,663,"60,040",1.1%
237,,Grand Forks Air Force Base,Grand Forks Air Force Base,Realign,"(2,290)",(355),0,0,"(2,290)",(355),0,"(2,645)","(2,284)","(4,929)","66,242",-7.4%
238,"Great Falls, MT Metropolitan Statistical Area","Galt Hall U.S. Army Reserve Center, Great Falls","Galt Hall U.S. Army Reserve Center, Great Falls",Close,(14),(3),0,0,(14),(3),0,(17),(9),(26),"49,197",-0.1%
239,,Great Falls International Airport Air Guard Station,Great Falls International Airport Air Guard Station,Realign,(26),(81),0,0,(26),(81),0,(107),(66),(173),"49,197",-0.4%
240,,Andersen Air Force Base,Andersen Air Force Base,Realign,(64),(31),0,0,(64),(31),0,(95),(79),(174),"54,980",-0.3%
241,"Gulfport-Biloxi, MS Metropolitan Statistical Area",Human Resources Support Center Southeast,Human Resources Support Center Southeast,Realign,0,(138),0,0,0,(138),(10),(148),(131),(279),"151,445",-0.2%
242,,Keesler Air Force Base,Keesler Air Force Base,Realign,(181),(31),0,0,(181),(31),(190),(402),(248),(650),"151,445",-0.4%
243,,Ewvra Sheppard Air Guard Station,Ewvra Sheppard Air Guard Station,Gain,0,0,7,3,7,3,0,10,7,17,"116,091",0.0%
244,"Hanford-Corcoran, CA Metropolitan Statistical Area",Naval Air Station Lemore,Naval Air Station Lemore,Gain,(39),0,44,35,5,35,0,40,32,72,"53,641",0.1%
245,,Parrott U.S. Army Reserve,Parrott U.S. Army Reserve,Close,(9),(1),0,0,(9),(1),0,(10),(5),(15),"13,264",-0.1%
246,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",Defense Distribution Depot Susquehanna,Defense Distribution Depot Susquehanna,Realign,0,(15),0,0,0,(15),0,(15),(13),(28),"384,888",0.0%
247,,Naval Support Activity Mechanicsburg,Naval Support Activity Mechanicsburg,Realign,0,(11),0,0,0,(11),0,(11),(10),(21),"384,888",0.0%
248,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",U.S. Army Reserve Center Area Maintenance Support Facility,U.S. Army Reserve Center Area Maintenance Support Facility,Close,(13),(5),0,0,(13),(5),0,(18),(8),(26),"760,935",0.0%
249,,Bradley International Airport Air Guard Station,Bradley International Airport Air Guard Station,Realign,(23),(88),26,15,3,(73),0,(70),(54),(124),"760,935",0.0%
250,"Hilton Head Island-Beaufort, SC Micropolitan Statistical Area",Marine Corps Air Station Beaufort,Marine Corps Air Station Beaufort,Gain,0,0,0,12,0,12,0,12,9,21,"93,051",0.0%
251,"Honolulu, HI Metropolitan Statistical Area",Naval Station Pearl Harbor,Naval Station Pearl Harbor,Gain,(29),(213),0,324,(29),111,0,82,89,171,"573,389",0.0%
252,,Hickam Air Force Base,Hickam Air Force Base,Realign,(311),(117),159,7,(152),(110),0,(262),(224),(486),"573,389",-0.1%
253,"Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area",Army National Guard Reserve Center Ellington,Army National Guard Reserve Center Ellington,Close,(14),(45),0,0,(14),(45),0,(59),(41),(100),"2,898,160",0.0%
254,,U.S. Army Reserve Center # 2 Houston,U.S. Army Reserve Center # 2 Houston,Close,(2),0,0,0,(2),0,0,(2),0,(2),"2,898,160",0.0%
255,,Ellington Field Air Guard Station,Ellington Field Air Guard Station,Realign,0,(3),0,0,0,(3),0,(3),(2),(5),"2,898,160",0.0%
256,,"Bias U.S. Army Reserve Center, Huntington","Bias U.S. Army Reserve Center, Huntington",Close,(1),0,0,0,(1),0,0,(1),0,(1),"139,908",0.0%
257,"Huntsville, AL Metropolitan Statistical Area",Redstone Arsenal,Redstone Arsenal,Gain,"(1,322)",(288),336,"1,874",(986),"1,586","1,055","1,655","1,289","2,944","225,625",1.3%
258,"Indianapolis, IN Metropolitan Statistical Area",Navy Recruiting District Headquarters Indianapolis,Navy Recruiting District Headquarters Indianapolis,Close,(27),(5),0,0,(27),(5),(6),(38),(15),(53),"1,037,290",0.0%
259,,U.S. Army Reserve Center Seston,U.S. Army Reserve Center Seston,Close,(12),0,0,0,(12),0,0,(12),(4),(16),"1,037,290",0.0%
260,,Leased Space - IN,Leased Space - IN,Close/Realign,(25),(111),0,0,(25),(111),0,(136),(89),(225),"1,037,290",0.0%
261,,"Defense Finance and Accounting Service, Indianapolis","Defense Finance and Accounting Service, Indianapolis",Gain,0,(100),114,"3,478",114,"3,378",3,"3,495","2,490","5,985","1,037,290",0.6%
262,"Jackson, MS Metropolitan Statistical Area",Jackson International Airport Air Guard Station,Jackson International Airport Air Guard Station,Gain,0,0,0,1,0,1,0,1,0,1,"307,475",0.0%
263,"Jacksonville, FL Metropolitan Statistical Area",Jacksonville International Airport,Jacksonville International Airport,Gain,0,(6),45,22,45,16,0,61,74,135,"727,765",0.0%
264,," (6) 45 22 45 16 0 61 74 135 727,765 0.0% Air Guard Station Naval Air Station Jacksonville", Air Guard Station Naval Air Station Jacksonville,Gain,(72),(245),"1,974",310,"1,902",65,58,"2,025","2,370","4,395","727,765",0.6%
265,,Naval Station Mayport,Naval Station Mayport,Gain,(6),0,403,13,397,13,0,410,480,890,"727,765",0.1%
266,"Jacksonville, NC Metropolitan Statistical Area",Marine Corps Base Camp Lejeune,Marine Corps Base Camp Lejeune,Realign,(182),(16),0,15,(182),(1),(9),(192),(109),(301),"91,677",-0.3%
267,,Army National Guard Reserve Center Tishomingo,Army National Guard Reserve Center Tishomingo,Close,(30),0,0,0,(30),0,0,(30),(16),(46),"4,603",-1.0%
268,"Johnstown, PA Metropolitan Statistical Area",Marine Corps Reserve Center Johnstown,Marine Corps Reserve Center Johnstown,Realign,(86),0,0,0,(86),0,0,(86),(52),(138),"74,442",-0.2%
269,,"Defense Finance and Accounting Service, Kansas City","Defense Finance and Accounting Service, Kansas City",Close,(37),(576),0,0,(37),(576),0,(613),(549),"(1,162)","1,225,451",-0.1%
270,,Marine Corps Support Center Kansas City,Marine Corps Support Center Kansas City,Close,(191),(139),0,0,(191),(139),(3),(333),(250),(583),"1,225,451",0.0%
271,,Navy Recruiting District Headquarters Kansas,Navy Recruiting District Headquarters Kansas,Close,(21),(6),0,0,(21),(6),(6),(33),(23),(56),"1,225,451",0.0%
272,,Fort Leavenworth,Fort Leavenworth,Gain,(16),0,211,8,195,8,0,203,131,334,"1,225,451",0.0%
273,"Kapaa, HI Micropolitan Statistical Area",Army National Guard Reserve Center Honokaa,Army National Guard Reserve Center Honokaa,Close,(118),0,0,0,(118),0,0,(118),(100),(218),"37,731",-0.6%
274,"Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area",Fort Hood,Fort Hood,Realign,"(9,135)",(118),"9,062",0,(73),(118),0,(191),(163),(354),"186,916",-0.2%
275,,Naval Surface Warfare Center Dahlgren,Naval Surface Warfare Center Dahlgren,Realign,0,(503),0,169,0,(334),(17),(351),(424),(775),"14,171",-5.5%
276,,U.S. Army Reserve Area Maintenance Support Facility,U.S. Army Reserve Area Maintenance Support Facility,Close,(30),(2),0,0,(30),(2),0,(32),(7),(39),"161,187",0.0%
277,"Knoxville, TN Metropolitan Statistical Area",McGee Tyson APT Air Guard Station,McGee Tyson APT Air Guard Station,Gain,0,0,58,190,58,190,0,248,245,493,"402,476",0.1%
278,,Navy Reserve Center La Crosse,Navy Reserve Center La Crosse,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"89,588",0.0%
279,"Lafayette, IN Metropolitan Statistical Area",U.S. Army Reserve Center Lafeyette,U.S. Army Reserve Center Lafeyette,Close,(21),0,0,0,(21),0,0,(21),(11),(32),"112,699",0.0%
280,,Fort Sheridan,Fort Sheridan,Realign,(17),(17),0,0,(17),(17),0,(34),(53),(87),"498,103",0.0%
281,,Naval Station Great Lakes,Naval Station Great Lakes,Realign,"(2,005)",(124),16,101,"(1,989)",(23),(10),"(2,022)","(2,577)","(4,599)","498,103",-0.9%
282,"Lansing-East Lansing, MI Metropolitan Statistical Area",Parisan U.S. Army Reserve,Parisan U.S. Army Reserve,Close,(25),0,0,0,(25),0,0,(25),(11),(36),"281,040",0.0%
283,"Las Cruces, NM Metropolitan Statistical Area",White Sands Missile Range,White Sands Missile Range,Realign,(13),(165),0,0,(13),(165),0,(178),(190),(368),"79,256",-0.5%
284,"Las Vegas-Paradise, NV Metropolitan Statistical Area",Nellis Air Force Base,Nellis Air Force Base,Gain,(265),(5),"1,414",268,"1,149",263,0,"1,412",959,"2,371","890,855",0.3%
285,"Lawton, OK Metropolitan Statistical Area",Fort Sill,Fort Sill,Gain,(892),(176),"4,336",337,"3,444",161,(3),"3,602","2,129","5,731","63,978",9.0%
286,"Lewisburg, PA Micropolitan Statistical Area",U.S. Army Reserve Center Lewisburg,U.S. Army Reserve Center Lewisburg,Close,(9),(2),0,0,(9),(2),0,(11),(6),(17),"22,716",-0.1%
287,," (53) 0 0 0 (53) 0 (53) (70) (123) 53,347 -0.2% Service, Patuxent River Naval Air Station Patuxent River"," Service, Patuxent River Naval Air Station Patuxent River",Gain,(10),(142),7,226,(3),84,6,87,114,201,"53,347",0.4%
288,,Fort Lewis,Fort Lewis,Realign,0,(164),0,0,0,(164),0,(164),(217),(381),"53,347",-0.7%
289,"Lexington-Fayette, KY Metropolitan Statistical Area","Defense Finance and Accounting Service, Lexington","Defense Finance and Accounting Service, Lexington",Close,(5),(40),0,0,(5),(40),0,(45),(27),(72),"296,523",0.0%
290,,Navy Reserve Center Lexington,Navy Reserve Center Lexington,Close,(9),0,0,0,(9),0,0,(9),(2),(11),"296,523",0.0%
291,"Lincoln, NE Metropolitan Statistical Area",Navy Reserve Center Lincoln,Navy Reserve Center Lincoln,Close,(7),0,0,0,(7),0,0,(7),(3),(10),"198,773",0.0%
292,"Little Rock-North Little Rock, AR Metropolitan Statistical Area",Little Rock Air Force Base,Little Rock Air Force Base,Gain,(16),0,"3,595",319,"3,579",319,0,"3,898","2,958","6,856","394,114",1.7%
293,,Camp Pike (90th),Camp Pike (90th),Realign,(86),(91),0,0,(86),(91),0,(177),(158),(335),"394,114",-0.1%
294,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",Armed Forces Reserve Center Bell,Armed Forces Reserve Center Bell,Close,(72),0,48,0,(24),0,0,(24),(11),(35),"5,554,695",0.0%
295,,"Navy-Marine Corps Reserve Center, Encino","Navy-Marine Corps Reserve Center, Encino",Close,(33),0,0,0,(33),0,0,(33),(15),(48),"5,554,695",0.0%
296,,"Navy-Marine Corps Reserve Center, Los Angeles","Navy-Marine Corps Reserve Center, Los Angeles",Close,(48),0,0,0,(48),0,0,(48),(22),(70),"5,554,695",0.0%
297,,Leased Space - CA,Leased Space - CA,Close/Realign,(2),(14),0,0,(2),(14),0,(16),(13),(29),"5,554,695",0.0%
298,,Marine Corps Reserve Center Pasadena CA,Marine Corps Reserve Center Pasadena CA,Gain,0,0,25,0,25,0,0,25,11,36,"5,554,695",0.0%
299,,U.S. Army Reserve Center Louisville,U.S. Army Reserve Center Louisville,Close,(30),(13),0,0,(30),(13),0,(43),(22),(65),"728,101",0.0%
300,,Louisville International Airport Air Guard Station,Louisville International Airport Air Guard Station,Gain,0,0,0,6,0,6,0,6,4,10,"728,101",0.0%
301,,Navy Recruiting Command Louisville,Navy Recruiting Command Louisville,Realign,(6),(217),0,0,(6),(217),0,(223),(165),(388),"728,101",-0.1%
302,"Lubbock, TX Metropolitan Statistical Area","Navy Reserve Center Lubbock, TX","Navy Reserve Center Lubbock, TX",Close,(7),0,0,0,(7),0,0,(7),(2),(9),"156,975",0.0%
303,"Lufkin, TX Micropolitan Statistical Area",Army National Guard Reserve Center Lufkin,Army National Guard Reserve Center Lufkin,Close,(10),0,0,0,(10),0,0,(10),(5),(15),"45,773",0.0%
304,"Madison, WI Metropolitan Statistical Area",Navy-Marine Corps Reserve Center Madison,Navy-Marine Corps Reserve Center Madison,Close,(23),(3),0,0,(23),(3),0,(26),(11),(37),"401,730",0.0%
305,,"Olson U.S. Army Reserve Center, Madison","Olson U.S. Army Reserve Center, Madison",Close,(113),0,0,0,(113),0,0,(113),(42),(155),"401,730",0.0%
306,,U.S. Army Reserve Center O'Connell,U.S. Army Reserve Center O'Connell,Close,(11),(1),0,0,(11),(1),0,(12),(4),(16),"401,730",0.0%
307,,Armed Forces Reserve Center Madison,Armed Forces Reserve Center Madison,Gain,0,0,40,8,40,8,0,48,21,69,"401,730",0.0%
308,,Dane County Airport,Dane County Airport,Gain,(4),0,22,37,18,37,0,55,35,90,"401,730",0.0%
309,"Manhattan, KS Micropolitan Statistical Area",Fort Riley,Fort Riley,Gain,0,0,"2,415",440,"2,415",440,0,"2,855","1,818","4,673","72,434",6.5%
310,"Mansfield, OH Metropolitan Statistical Area",Army National Guard Reserve Center Mansfield,Army National Guard Reserve Center Mansfield,Close,(59),(2),0,0,(59),(2),0,(61),(57),(118),"73,323",-0.2%
311,,Mansfield Lahm Municipal Airport Air Guard Station,Mansfield Lahm Municipal Airport Air Guard Station,Close,(63),(171),0,0,(63),(171),0,(234),(294),(528),"73,323",-0.7%
312,"Marquette, MI Micropolitan Statistical Area",Navy Reserve Center Marquette,Navy Reserve Center Marquette,Close,(7),0,0,0,(7),0,0,(7),(1),(8),"34,562",0.0%
313,"Marshall, TX Micropolitan Statistical Area",Army National Guard Reserve Center Marshall,Army National Guard Reserve Center Marshall,Close,(15),(1),0,0,(15),(1),0,(16),(8),(24),"29,682",-0.1%
314,,Naval Support Activity Crane,Naval Support Activity Crane,Realign,0,(672),0,0,0,(672),(11),(683),(308),(991),"8,525",-11.6%
315,"Maysville, KY Micropolitan Statistical Area",U.S. Army Reserve Center Maysville,U.S. Army Reserve Center Maysville,Close,(16),(2),0,0,(16),(2),0,(18),(10),(28),"16,643",-0.2%
316,"Medford, OR Metropolitan Statistical Area",Navy Reserve Center Central Point,Navy Reserve Center Central Point,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"106,355",0.0%
317,,Memphis International Airport Air,Memphis International Airport Air,Gain,0,0,2,6,2,6,0,8,5,13,"758,153",0.0%
318,," 0 2 6 2 6 0 8 5 13 758,153 0.0% Guard Station Naval Support Activity Mid South", Guard Station Naval Support Activity Mid South,Gain,0,0,372,601,372,601,88,"1,061",668,"1,729","758,153",0.2%
